index,owner_address,position_unit,total_open_positions,position_percentage
273,bc1p6lzezzsku0378ltz0n2mk6umv42jae5lr9vf8gjf26lw29z6e56s0tyqjk,7,7000,0.0333%
383,bc1p9wek2ev2ls29h52jeu02g4rwlf5dqjl6vnln958t6mjaez3vltps35pg7a,7,7000,0.0333%
427,bc1pahzz0uhhh67peyxgcm5nt6uwhhp8kqhxp3wvnr8tdmetunrr5wjqjm4wer,7,7000,0.0333%
47,bc1pu6ervp9x7aflzpnp7w5rztux48r6nx4jcfqx7ts7e35juy9jqtzsnu7su6,6,6000,0.0286%
55,bc1p225zyk03jr660v7j5ntet0438tnyw2puzelwnnsmuwvhwmn8w8assk3y6k,6,6000,0.0286%
87,bc1pc29a56rgl44r07pnkllvu3mvdnmpp5s9upg5j5dpc3hcqz054vhqclhl3y,6,6000,0.0286%
139,bc1q5csaxvg34lg5009qe3gahl96rktjkmn40av7zt,6,6000,0.0286%
179,bc1phcsawa5pzfjx65c0z633erv5j5j7rypy86uy3jqred8ex8hqza7sy7ldg9,6,6000,0.0286%
241,bc1pu08dvkzjpsc0kmvxw46h7xlcy426zf0a27ju0lsafme8w4cl8rjqlrwrfp,6,6000,0.0286%
242,bc1p75at3pddylpucl4leshavf4ug77l0parvle5hut2w9d38jt0lxhsc2za88,6,6000,0.0286%
402,bc1pwhknxlgqp3dq9gp4wjhx2uvkwp2zj6vx9tt24wsh8ruqjflex8yqz3yhnp,6,6000,0.0286%
404,bc1ppp2dnvmfx4749crgduxqz5lr38lr0akga290hxuktya0f6ugjsyqlxj9t2,6,6000,0.0286%
442,bc1pvaywzwc98g96zec73fdpl8rhs5czsryzk7q049xtq4lr0axraafqlhqydt,6,6000,0.0286%
482,bc1pzw473mc8rpq9j4yr6yp757a6c6qd5cxv3utwp3h5ktx6jjh0e4fqmunqss,6,6000,0.0286%
5,bc1ppcmawkhyvfrxals4lhnkef8nrrelx9edehp652salpk8ee36p2fq0pe6k6,5,5000,0.0238%
90,bc1pehcm9ppu2zfzd34uah0w2rcy3cnx2lt6m3hl530mfnrju8w0hpxqaepdww,5,5000,0.0238%
91,bc1pj6569ee2dd2yaxxm60vjytmsayv54emjj22c8cd0zewp26hkdggq7vkka7,5,5000,0.0238%
129,bc1pzsxt6khq9rehk48u0he0dhh8xdmn0dl5za3l2e6td2m98u6lnkuqkwd7xw,5,5000,0.0238%
150,bc1ph7272wkkwwaasxy07fama8ugjeu33qa0t2as5ts5wywz0s2q373s4d808n,5,5000,0.0238%
296,bc1pg6dyhslllx0f5gpel9ulljmuj0zwjngr8u3pj70ckdgzykel26yscnsyv2,5,5000,0.0238%
329,bc1p8fycx0rnn9zqem64fvgvpkesr4rzljnhz3fkjnatlvumr6xwk6lsnsgd0l,5,5000,0.0238%
349,bc1pzahsyer4z56543t9ca2p0f44fepjamscl95kjku5ra4gccyf786sw5pxns,5,5000,0.0238%
353,bc1p02fwluelrsq0rhk5s5yf36xq6kyghcyyxwznuj5zfd2vqnye4utsdvajj4,5,5000,0.0238%
370,bc1p6n4ty25c2f9w5n48lvkdfxaswtpj9wu869fdd8ckce02dgc2sqysfv5jmk,5,5000,0.0238%
392,bc1pyrhjvqfda5ume2et9pv58j26acrcuw07da5gyjeefl230he4wmkqd4vmnj,5,5000,0.0238%
399,bc1p2y9jwzeyd07zzz8vt4trahj7mz2xjus9yqemsgqgpgvjftz7mefsl689hx,5,5000,0.0238%
401,bc1pnwxx33zun9h90urqs5eqwhct0c4eckkgj5cp8te6pm3xehnry2ps9d35lc,5,5000,0.0238%
406,bc1pfpask3ku6lu3ccu35u7k4s3t0y8umpefy9cdl7j92g4j55e56upqwu6qtt,5,5000,0.0238%
411,bc1ppzdaqtra48qduh8ddafu89quzgj2wft7ugp3j7xx6w8cut785mlqakgf7d,5,5000,0.0238%
433,bc1p42t2u5w7qmkj8tqd9a0xvlfq6vdny24gldvsrfvrz3f6cs478ysq0cpf0t,5,5000,0.0238%
453,bc1pfmfd96k6hy60ul3qy5ppt4ey96fn8xda0aklsfsp6c7hx70qekdqmm3vqa,5,5000,0.0238%
455,bc1pwt8fj4q46rvtdg050c0vhklcpa8a7d8nr78qq6w5ea2h96luzyhqtn2s4z,5,5000,0.0238%
468,bc1p4cg4nv2je3exnendp9d7g0rm9jk6t0w52umrcmv7p7n42xxfeu2q9w0tml,5,5000,0.0238%
474,bc1pqpehsfj2e32g45epal9nqmwgasxhj7w55xht7s46pxv3x7e8lvkqp95rjc,5,5000,0.0238%
475,bc1pz82kqzyf8y5q423cdq304ce0lj2whhv89lcqeddpkr7kzvjqrlmsczhxzq,5,5000,0.0238%
81,bc1pzd5nfsaa09ecpp3de4tcvf82fdp99jhymwzygx4h6754k5ym6cvqdtxgpp,4,4000,0.0190%
347,bc1pjs4cr6jc3xu3wh6am2s7cwvcppvjagl2j390qnp77mz4r8rgnujqk9zj4f,4,4000,0.0190%
352,bc1ptlwgln92rkl79tg9rtcgpd3v704hw77eqq27mwltun2wteqg5yssvnwafj,4,4000,0.0190%
379,bc1pgmyk246leswsmmhn6tu3apg0rh3ft96myaqswy0fn6slr7t37x3s2fzl5t,4,4000,0.0190%
390,bc1pcqz3ahqtkn87ph65klmufln7k5ma07uxy4gzuef9qhl5jflpqz3qw254zv,4,4000,0.0190%
479,bc1qa2gk9uyw2mly2x6hr7e4kx2jas9mgs3xxyqukd,4,4000,0.0190%
174,bc1pfchavjfygs5jsdzltym48fqgzmd844thaelvg7365d70vdl4p20qqv4h5e,3,3000,0.0143%
240,bc1pjusk8ptekdcnn47t3lyj7wn20ahw98rjxz3lvf8q6cduve0e6deqw3ydrd,3,3000,0.0143%
357,bc1ppn24h5jxuw5zgtqe790twk23204skz2hemtkevt2ukxfdtr9eqdsysznnp,3,3000,0.0143%
382,bc1p2xtzqmr5dwr8wygh8q9ve7kntrsg52jyvfx20t6r7wd6dk5ssujq4ng8lk,3,3000,0.0143%
410,bc1q809r3vjx7hvwn23ut8yrlfjl053q9g6exfsz76,3,3000,0.0143%
417,32uWvFC2he72pSLJ9LUGScZKgCQtVeSqMh,3,3000,0.0143%
430,bc1phpcp5aqefa4ere95r4xlp5xplaffmrzrnft9fme93c4gsew3hw8s87u2xg,3,3000,0.0143%
440,bc1q476lp6xwxpf0aqunqneyd83scgkzpy9qf7qg6t,3,3000,0.0143%
12,bc1p8rrppneug3kjktazmjsc4mlzv9qd967x3jdzt70hsrff782xdmrq2vffhz,2,2000,0.0095%
110,bc1p962qrk8dzwm4sh2gkejkgj7zcu84j05pnnpqvhxu3jxx07vukx0s7rky5r,2,2000,0.0095%
131,bc1p7ydswx6rte8k5jnhwztz2g8m2pu7az0gpwus3gvamjd0vllaj2kqdcwfjn,2,2000,0.0095%
160,bc1pmpkdelgax6exfjw0jh7s706tnx6ldfphf65njzlnpny55anc56hsujtsp0,2,2000,0.0095%
175,bc1pql0rudj7zqavmp5h2ldhjzskxf2jpktrncw28qs9ctu5m5jk9g0sdr52hr,2,2000,0.0095%
222,bc1pa97aunctq4c402tnwadwy0xz2rn7kqyv52uyspem2vud3f9eaq8sk0jc6h,2,2000,0.0095%
279,bc1p9s9d27lq74zqzgvpefqqc626d86r68mejw542z920jp6533rk0vqlrze5k,2,2000,0.0095%
351,bc1px97k74lxmdhz6gtgtk5e7qmtedamd3mwmnk8l0fk6v2kpwwj03jqfp4kxa,2,2000,0.0095%
381,bc1p3q67xyv3tsupmtffjyqxuw3wd8gmur9tav78jfuzswzxx922v2aqks89mn,2,2000,0.0095%
471,bc1pe330zn44lf3t5mh03k88f385t0yq2dws8anutd2zy8re9lgtefeqcjydls,2,2000,0.0095%
478,bc1q655lz6sdh7mvmc66xdw2mhwlszt6fwpty3wh4j,2,2000,0.0095%
8,bc1pu9xy6yrfj9e8wz5zvvng7pmlhq9nrk9c2jwvxu9yx59zg47aduvscs0d0u,1,1000,0.0048%
21,bc1p86nr6w94kjzsndew0xsuaxqrj9lmfuk32eh9vlhc3mqnc80d0lxqea9sn7,1,1000,0.0048%
50,bc1qh989tsp8j3hn7fpvr56canzr6lnz0zjvyvlcwf,1,1000,0.0048%
61,bc1px47kz4h054slclca9cqlkhcjy7tay7em0emlwlrp2deaztlsgraq0ysshg,1,1000,0.0048%
138,bc1pt2qkrcxuhr2pld4mrtrjm73ytsnlqejcu8trazded0uv43rsykkqn8c9q3,1,1000,0.0048%
141,bc1pv9wdyjsfdpe7s6l8ldfh7tm59myayemlkdlas4q89823eazd569qm3pjmm,1,1000,0.0048%
161,bc1p4s4hmf3mr0hnvump98htwfysnqavs04vcde7c6f88qs7jxvnvpjspd95nr,1,1000,0.0048%
176,bc1pcuyqm3z5rrzas3lae3s83dcgmn024dn6534s2yfv6l7f7nlguvxqtnppac,1,1000,0.0048%
177,bc1pga7yu6wwu299g80sujkuwp2hydaf4g3fnaffneszjzm8ayuc8vzsccufsl,1,1000,0.0048%
184,bc1peldw5wy75jtjqedskc55kzv0zs77ru20tgflh7yt8d4z0edrayus9rvgcf,1,1000,0.0048%
290,bc1pukd33qlx2qrzajdrlcj6ts35jkkgsaykuh6fyahjnks3khm2cffqys36vx,1,1000,0.0048%
294,bc1pxwn9duraglsgr9f7q8ua33sx0vkq5wjft575h662995zf5m27v2qqxlf3m,1,1000,0.0048%
295,bc1p9naeaa8defexayxzu9ky2ru3rscrn74pp6m3fuat3m6nnhwdsuss0wcx9l,1,1000,0.0048%
336,bc1p99k76cpddyyjdc2hlwketsanuyhacrnljkutn48at85wyavzdf6s66dxkz,1,1000,0.0048%
345,bc1pxhnkafy44ngyv26ysy0erzaw6vqk0ge5cpd0kyk5epy2q33l9u6q333k2e,1,1000,0.0048%
346,bc1pn8dk4fq6tfy059s0tlj66xqf3s9sdv6vcsvm0cwgtf3lpk84978shs5jdl,1,1000,0.0048%
356,bc1p4llktrhlhmjcnpvh5xhne7n7ujuqxf9f8ywc8mnswfhedgqh0m8sd52mjs,1,1000,0.0048%
371,bc1pnm6mx2yudceyr8vqhv42z6wtka64qypw7pmyjdc6xy2uwzflmtdq8hjvyd,1,1000,0.0048%
389,bc1pwg9vwvnp8chsn9dexe66rv9klvzwx99hk6fkzp77yl7wruhvfywqd5s09h,1,1000,0.0048%
403,bc1ptsyntamu5hzverthy6alxnkfy452p7nvqph34ys7ekvvfpq5vjjqtfmkk7,1,1000,0.0048%
405,bc1q2l4a9q0qqmq8dlv09qd7hehjs28fvm80s7m86l,1,1000,0.0048%
409,bc1pd0pjtehan4pwf0yqau20dk2juvaf2xfejcavjlw07tzcm85t3tssccn9ug,1,1000,0.0048%
416,bc1pj4vhq6qqz3tflel6f88kdfx5jh74rw7wysqqfw64a7772dja05fqjft76f,1,1000,0.0048%
428,bc1pased3t4zkjrp3fc0pdk2cx9k6mrud9vfnyjhl0yywall3qu424dq4wshaq,1,1000,0.0048%
446,bc1p6mtwp95gnacssyylsztw0rjl598xcg234xdysqmaum5096vsluxs8zfvc7,1,1000,0.0048%
457,bc1pa64lxz5z27rk48nslx4xgje56xhdazr53y3pcjtxulu0ts794avsj5nm6q,1,1000,0.0048%
458,bc1p9nyut5a8xr2rmrzm8hgqcu99kptx9ls76yqnwthzfjauslj5v2hqy3f6jt,1,1000,0.0048%
460,bc1pz39a8ezzmme3230nahufc0t34fk53vztxxa6ps55ykzq7g9dh4nq0x8lyq,1,1000,0.0048%
463,bc1psawp9revhmsq6scu3vz2ctk9dw2avn0q6fpkke0mvsqujadww28qzn2w4v,1,1000,0.0048%
464,bc1pw5w23rx85zrhm02wrc74wv0jtye5520phkger5gelh9lysmw38uqxztd5u,1,1000,0.0048%
472,bc1pxa5e9406jhw5huzkqyu8v02x4uwjr9fgpttr0y8jqrlvvy6wjenqtasy8v,1,1000,0.0048%
480,bc1pdg788r6y60s8gh5sqfv0ndr2azvnnacushk9e9dq6uzujuqk3r9saf8n8n,1,1000,0.0048%
481,bc1p4wa6u48gzt7zmr7jejug2lctlze6myh9dx7hl9dr7e0ua2lau9psh47yp9,1,1000,0.0048%
